,bigram,counts
0,"('cryptocurrency', 'market')",11
1,"('decentralized', 'finance')",9
2,"('p2p', 'lending')",8
3,"('lending', 'pool')",8
4,"('digital', 'currency')",7
5,"('blockchain', 'technology')",6
6,"('financial', 'service')",6
7,"('traditional', 'financial')",5
8,"('coin', 'offering')",5
11,"('initial', 'coin')",4
12,"('offering', 'icos')",4
13,"('tax', 'scrutiny')",4
10,"('data', 'set')",4
9,"('cefi', 'defi')",4
26,"('net', 'transactional')",3
38,"('special', 'issue')",3
37,"('value', 'chain')",3
36,"('cryptocurrency', 'return')",3
35,"('agency', 'problem')",3
33,"('business', 'school')",3
32,"('operating', 'performance')",3
31,"('post-ico', 'operating')",3
30,"('bank', 'deposit')",3
29,"('mean', 'payment')",3
28,"('cryptocurrency', 'price')",3
27,"('transactional', 'benefit')",3
34,"('equity', 'financing')",3
25,"('limited', 'adoption')",3
17,"('operation', 'management')",3
24,"('finding', 'suggest')",3
14,"('finance', 'defi')",3
15,"('economic', 'security')",3
16,"('crypto', 'token')",3
18,"('financial', 'inclusion')",3
19,"('lending', 'market')",3
20,"('network', 'effect')",3
21,"('central', 'bank')",3
22,"('bank', 'digital')",3
23,"('currency', 'cbdc')",3
82,"('use', 'blockchain')",2
78,"('value', 'blockchain')",2
81,"('find', 'use')",2
80,"('ab', 'issued')",2
79,"('blockchain', 'application')",2
73,"('transaction', 'rate')",2
77,"('economic', 'value')",2
76,"('also', 'find')",2
75,"('increase', 'bitcoin')",2
74,"('stimulus', 'check')",2
84,"('bitcoin', 'return')",2
72,"('increasing', 'transaction')",2
71,"('network', 'delay')",2
83,"('extrinsic', 'volatility')",2
89,"('policy', 'tradeoff')",2
85,"('physical', 'currency')",2
86,"('equilibrium', 'allocation')",2
87,"('private', 'banking')",2
88,"('currency', 'bank')",2
90,"('deposit', 'raise')",2
91,"('platform', 'owner')",2
92,"('ico', 'data')",2
93,"('token', 'return')",2
94,"('london', 'business')",2
95,"('paper', 'wa')",2
96,"('financing', 'entrepreneurial')",2
97,"('token', 'financing')",2
98,"('entrepreneurial', 'effort')",2
69,"('information', 'asymmetry')",2
70,"('underlying', 'technology')",2
50,"('transaction', 'cost')",2
68,"('provide', 'evidence')",2
67,"('also', 'discus')",2
39,"('financial', 'infrastructure')",2
40,"('small', 'business')",2
41,"('credit', 'card')",2
42,"('financial', 'asset')",2
43,"('defi', 'asset')",2
44,"('product', 'market')",2
45,"('market', 'competition')",2
46,"('equilibrium', 'profit')",2
47,"('utility', 'token')",2
48,"('token', 'used')",2
49,"('financial', 'technology')",2
51,"('disruptive', 'technology')",2
52,"('online', 'p2p')",2
53,"('market', 'especially')",2
54,"('credit', 'rating')",2
55,"('good', 'service')",2
56,"('token', 'price')",2
57,"('show', 'token')",2
58,"('token', 'issuance')",2
59,"('paper', 'develops')",2
60,"('general', 'equilibrium')",2
61,"('market', 'initial')",2
62,"('financial', 'market')",2
63,"('unregulated', 'exchange')",2
64,"('wash', 'trading')",2
65,"('increase', 'tax')",2
66,"('tax-loss', 'harvesting')",2
99,"('standard', 'model')",2
