,bigram,counts
0,"('decentralized', 'finance')",5
2,"('coin', 'offering')",5
1,"('initial', 'coin')",5
3,"('central', 'bank')",3
4,"('digital', 'currency')",3
5,"('cryptocurrency', 'market')",2
6,"('bank', 'digital')",2
7,"('finance', 'defi')",2
74,"('security', 'equilibrium')",1
65,"('covid-stimulus', 'check')",1
73,"('asset-backed', 'security')",1
72,"('evidence', 'asset-backed')",1
71,"('early', 'evidence')",1
70,"('application', 'early')",1
69,"('blockchain', 'application')",1
68,"('value', 'blockchain')",1
67,"('economic', 'value')",1
66,"('check', 'economic')",1
61,"('retail', 'trading')",1
64,"('impact', 'covid-stimulus')",1
63,"('bitcoin', 'impact')",1
62,"('trading', 'bitcoin')",1
76,"('bitcoin', 'pricing')",1
60,"('uncovering', 'retail')",1
59,"('problem', 'uncovering')",1
58,"('adoption', 'problem')",1
57,"('limited', 'adoption')",1
56,"('bitcoin’s', 'limited')",1
75,"('equilibrium', 'bitcoin')",1
80,"('policy', 'implication')",1
77,"('pricing', 'central')",1
89,"('ico', 'success')",1
98,"('capital', 'market')",1
97,"('unregulated', 'capital')",1
96,"('intermediary', 'unregulated')",1
95,"('information', 'intermediary')",1
94,"('disclosure', 'information')",1
93,"('role', 'disclosure')",1
92,"('performance', 'role')",1
91,"('post-ico', 'performance')",1
90,"('success', 'post-ico')",1
88,"('offering', 'ico')",1
78,"('currency', 'welfare')",1
87,"('finance', 'initial')",1
86,"('platform', 'finance')",1
85,"('token-based', 'platform')",1
84,"('currency', 'token-based')",1
83,"('issue', 'digital')",1
82,"('bank', 'issue')",1
81,"('implication', 'central')",1
54,"('token', 'retention')",1
79,"('welfare', 'policy')",1
55,"('retention', 'bitcoin’s')",1
50,"('signal', 'initial')",1
53,"('rational', 'token')",1
18,"('competition', 'crypto')",1
27,"('market', 'effect')",1
26,"('lending', 'cryptocurrency')",1
25,"('peer-to-peer', 'lending')",1
24,"('online', 'peer-to-peer')",1
23,"('interdependence', 'online')",1
22,"('contract', 'interdependence')",1
21,"('smart', 'contract')",1
20,"('token', 'smart')",1
19,"('crypto', 'token')",1
17,"('market', 'competition')",1
52,"('evidence', 'rational')",1
16,"('product', 'market')",1
15,"('finance', 'product')",1
14,"('centralized', 'decentralized')",1
13,"('defi--comparing', 'centralized')",1
12,"('v', 'defi--comparing')",1
11,"('cefi', 'v')",1
10,"('finance', 'cefi')",1
9,"('future', 'finance')",1
8,"('defi', 'future')",1
28,"('effect', 'financial')",1
29,"('financial', 'inclusion')",1
30,"('inclusion', 'model')",1
31,"('model', 'cryptocurrencies')",1
51,"('offering', 'evidence')",1
49,"('de-crypto-ing', 'signal')",1
48,"('cryptocurrencies', 'de-crypto-ing')",1
47,"('harvesting', 'cryptocurrencies')",1
46,"('tax-loss', 'harvesting')",1
45,"('trading', 'tax-loss')",1
44,"('wash', 'trading')",1
43,"('crypto', 'wash')",1
42,"('offering', 'crypto')",1
41,"('analyst', 'initial')",1
40,"('conflicted', 'analyst')",1
39,"('assessment', 'conflicted')",1
38,"('quantitative', 'assessment')",1
37,"('theory', 'quantitative')",1
36,"('currency', 'theory')",1
35,"('power', 'central')",1
34,"('market', 'power')",1
33,"('bank', 'market')",1
32,"('cryptocurrencies', 'bank')",1
99,"('market', 'evidence')",1
